City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1281,Actopan,MX,70.52,scattered clouds,20.2667,-98.9333,QUINTA RIVERA HOTEL
1284,Praxedis Guerrero,MX,74.66,broken clouds,31.3667,-106.0167,Congregación placitas de Otero
1285,Shakawe,BW,74.57,few clouds,-18.3667,21.85,Ditlhapi Guest House
1287,Mananjary,MG,77.7,light rain,-21.2167,48.3333,Vahiny Lodge
1292,Manadhoo,MV,82.42,clear sky,5.7667,73.3833,Bon Abri maldives
1296,Altamira,BR,89.69,scattered clouds,-3.2033,-52.2064,Requinte Hotel
1298,La Asuncion,VE,80.29,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
1308,Miami,US,80.02,clear sky,25.7743,-80.1937,Miami Sun Hotel- Downtown/Port of Miami
1311,Yazman,PK,84.74,clear sky,29.1212,71.7446,Jamal sons showroom
1312,Sesheke,ZM,74.93,overcast clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
1315,Montepuez,MZ,71.64,scattered clouds,-13.1256,38.9997,PembaAparthotel
1316,Praia,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
1320,Salinopolis,BR,81.43,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
1321,Taitung,TW,75.74,few clouds,22.7583,121.1444,Taitung Bali Suites Hotel
1322,Cukai,MY,78.75,clear sky,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
1323,San Antonio,US,89.15,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
1324,Eirunepe,BR,87.96,overcast clouds,-6.6603,-69.8736,Atrás de você
1325,Crestview,US,74.43,clear sky,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
1327,Tuy Hoa,VN,76.55,clear sky,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
1328,El Alto,PE,85.66,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
1330,Kalmunai,LK,79.21,few clouds,7.4167,81.8167,VS Villa
1333,Cozumel,MX,81.0,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
1336,Galesong,ID,77.02,scattered clouds,-5.3166,119.3661,Sapriadi Appy
1337,Houma,US,79.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
1339,Trinidad,BO,78.78,broken clouds,-14.8333,-64.9,Hotel Piesta
1344,Sinazongwe,ZM,78.53,light rain,-17.2614,27.4618,Lakeview Lodge
1345,Tucumcari,US,76.95,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
1352,Davila,PH,76.98,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
1354,Yaring,TH,78.87,clear sky,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
1355,Kieta,PG,76.82,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
1356,Booue,GA,78.37,light rain,-0.0921,11.9385,Splendeur de l'équateur
1358,Tibagi,BR,77.13,overcast clouds,-24.5094,-50.4136,Far View Inn
1363,Kihei,US,71.83,scattered clouds,20.785,-156.4656,Maui Sunset
1364,Kroya,ID,77.81,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
1365,Antalaha,MG,78.06,few clouds,-14.9003,50.2788,Hotel Vitasoa
